1000/T,T_K,dopant_A,xA_mol,dopant_B,xB_mol,xV_mol,density_matrix (g/mL),log(Conductivity(S/cm))
3.39963,294.1496575,,0,,0.00,0,4.689,-9.98201
3.09454,323.1498058,,0,,0.00,0,4.689,-9.06024
2.87233,348.1494118,,0,,0.00,0,4.689,-8.8532
2.67989,373.1496442,,0,,0.00,0,4.689,-8.56967
2.36323,423.1496723,,0,,0.00,0,4.689,-8.00526
2.11349,473.151044,,0,,0.00,0,4.689,-7.56086
3.39963,294.1496575,Ca,0.08,,0.00,0.08,5.09,-6.77
3.09454,323.1498058,Ca,0.08,,0.00,0.08,5.09,-6.37715
2.87233,348.1494118,Ca,0.08,,0.00,0.08,5.09,-5.79081
2.67989,373.1496442,Ca,0.08,,0.00,0.08,5.09,-5.28475
2.36323,423.1496723,Ca,0.08,,0.00,0.08,5.09,-4.76097
2.11349,473.151044,Ca,0.08,,0.00,0.08,5.09,-4.20923
3.39963,294.1496575,Ca,0.04,,0.00,0.04,4.91,-7.74
3.09454,323.1498058,Ca,0.04,,0.00,0.04,4.91,-6.82
2.87233,348.1494118,Ca,0.04,,0.00,0.04,4.91,-6.74
2.67989,373.1496442,Ca,0.04,,0.00,0.04,4.91,-6.21
2.36323,423.1496723,Ca,0.04,,0.00,0.04,4.91,-5.58903
2.11349,473.151044,Ca,0.04,,0.00,0.04,4.91,-5.092
3.39963,294.1496575,Ca,0.17,,0.00,0.21,5.176,-6.45634
3.09454,323.1498058,Ca,0.17,,0.00,0.21,5.176,-6.124
2.87233,348.1494118,Ca,0.17,,0.00,0.21,5.176,-5.49
2.67989,373.1496442,Ca,0.17,,0.00,0.21,5.176,-5.13
2.36323,423.1496723,Ca,0.17,,0.00,0.21,5.176,-4.558
2.11349,473.151044,Ca,0.17,,0.00,0.21,5.176,-4.06494
3.39963,294.1496575,Ca,0.26,,0.00,0.3,6.23,-6.3689
3.09454,323.1498058,Ca,0.26,,0.00,0.3,6.23,-5.912
2.87233,348.1494118,Ca,0.26,,0.00,0.3,6.23,-5.3
2.67989,373.1496442,Ca,0.26,,0.00,0.3,6.23,-5.04
2.36323,423.1496723,Ca,0.26,,0.00,0.3,6.23,-4.3583
2.11349,473.151044,Ca,0.26,,0.00,0.3,6.23,-3.908
3.39963,294.1496575,Mg,0.08,,0.00,0.11,4.74,-8.5485
3.09454,323.1498058,Mg,0.08,,0.00,0.11,4.74,-7.6753
2.87233,348.1494118,Mg,0.08,,0.00,0.11,4.74,-6.9431
2.67989,373.1496442,Mg,0.08,,0.00,0.11,4.74,-6.3501
2.36323,423.1496723,Mg,0.08,,0.00,0.11,4.74,-5.72481
2.11349,473.151044,Mg,0.08,,0.00,0.11,4.74,-5.0285
3.39963,294.1496575,Sr,0.09,,0.00,0.07,4.713,-8.94872
3.09454,323.1498058,Sr,0.09,,0.00,0.07,4.713,-8.3217
