model,train_mae,train_r2,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std
PhysicsInformed_Ridge,0.2709,0.9461,0.3003,0.0358,0.9283,0.0194
BayesianRidge,0.2708,0.9459,0.3005,0.0378,0.9267,0.0202
SVR_RBF,0.0595,0.9971,0.2525,0.082,0.9253,0.047
SVR_Poly,0.0888,0.993,0.2996,0.0794,0.9048,0.0649
CatBoost,0.0018,1.0,0.3063,0.0617,0.904,0.0403
MLP,0.1085,0.9904,0.3023,0.0524,0.9035,0.0418
GPR,0.0,1.0,0.317,0.1261,0.8932,0.0631
GradientBoosting,0.0019,1.0,0.3666,0.0664,0.8838,0.0548
XGBoost,0.0009,1.0,0.382,0.0876,0.8637,0.078
KNN,0.0,1.0,0.424,0.0875,0.8535,0.0531
PhysicsInformed_XGBoost,0.0611,0.9964,0.4251,0.0607,0.8526,0.0585
Adaptive_XGBoost,0.0611,0.9964,0.4251,0.0607,0.8526,0.0585
OLS,0.2739,0.9496,0.4413,0.0631,0.8499,0.0252
ExtraTrees,0.1146,0.9863,0.4605,0.0727,0.8343,0.0484
LassoCV,0.5293,0.8021,0.4695,0.0187,0.8142,0.0253
Adaptive_Ridge,0.4244,0.8618,0.508,0.0786,0.802,0.0507
Adaptive_RandomForest,0.1457,0.9824,0.5035,0.1162,0.7939,0.117
PhysicsInformed_RandomForest,0.1464,0.9823,0.5035,0.1163,0.7938,0.117
PLSRegression,0.4971,0.8181,0.5316,0.0798,0.7735,0.1132
ElasticNetCV,0.5156,0.802,0.6017,0.0888,0.733,0.0345
HistGradientBoosting,0.1674,0.9751,0.5469,0.2075,0.7324,0.1644
RandomForest,0.289,0.9323,0.5841,0.1042,0.7219,0.1352
RidgeCV,0.6209,0.7213,0.6866,0.1073,0.6644,0.0397
DecisionTree,0.2593,0.9434,0.7077,0.0617,0.6101,0.1487
