iter	Passed	Remaining
0	1	1761
1	2	1639
2	3	1548
3	5	1529
4	6	1442
5	7	1412
6	7	1337
7	8	1310
8	9	1286
9	10	1261
10	11	1266
11	12	1256
12	13	1247
13	14	1242
14	15	1241
15	16	1232
16	17	1237
17	18	1243
18	20	1249
19	21	1239
20	21	1232
21	22	1227
22	23	1210
23	24	1194
24	25	1201
25	26	1193
26	27	1184
27	27	1171
28	28	1159
29	29	1152
30	30	1145
31	31	1145
32	32	1138
33	32	1130
34	33	1121
35	34	1114
36	35	1109
37	36	1103
38	36	1100
39	37	1084
40	38	1080
41	38	1074
42	39	1073
43	40	1070
44	41	1057
45	41	1050
46	42	1045
47	43	1040
48	44	1035
49	44	1031
50	45	1026
51	46	1021
52	46	1016
53	47	1012
54	48	1009
55	49	1005
56	49	999
57	50	995
58	51	990
59	51	986
60	52	983
61	53	980
62	54	976
63	54	973
64	55	969
65	56	965
66	56	961
67	57	958
68	58	955
69	59	953
70	59	952
71	60	948
72	61	944
73	61	937
74	62	934
75	62	931
76	63	927
77	64	925
78	65	922
79	65	915
80	66	912
81	66	909
82	67	905
83	67	902
84	68	898
85	69	895
86	69	892
87	70	888
88	70	885
89	71	883
90	72	880
91	72	877
92	73	875
93	74	873
94	74	869
95	75	866
96	76	864
97	76	861
98	77	859
99	77	854
100	78	851
101	78	848
102	79	845
103	79	843
104	80	840
105	81	837
106	81	834
107	82	832
108	82	829
109	83	827
110	84	825
111	84	823
112	85	820
113	85	817
114	86	815
115	87	813
116	87	811
117	88	809
118	88	806
119	89	804
120	89	802
121	90	799
122	91	797
123	91	795
124	92	792
125	92	790
126	93	787
127	93	784
128	94	781
129	94	779
130	95	776
131	95	774
132	96	773
133	96	770
134	97	768
135	97	765
136	98	764
137	99	762
138	99	760
139	100	758
140	100	755
141	101	753
142	101	751
143	102	749
144	102	747
145	103	745
146	103	743
147	104	742
148	104	740
149	105	738
150	106	736
151	106	734
152	106	732
153	107	729
154	107	727
155	108	725
156	108	723
157	109	721
158	109	719
159	110	717
160	110	715
161	111	714
162	112	712
163	112	711
164	113	709
165	113	707
166	114	705
167	114	703
168	115	701
169	115	699
170	115	697
171	116	695
172	116	693
173	117	691
174	117	689
175	118	687
176	118	686
177	119	684
178	119	682
179	120	680
180	120	679
181	121	677
182	121	675
183	121	673
184	122	671
185	122	669
186	123	667
187	123	666
188	124	664
189	124	662
190	124	660
191	125	658
192	125	656
193	126	655
194	126	653
195	127	651
196	127	650
197	128	648
198	128	646
199	128	644
200	129	642
201	129	641
202	130	639
203	130	637
204	130	635
205	131	633
206	131	631
207	132	629
208	132	627
209	132	626
210	133	624
211	133	622
212	133	620
213	134	618
214	134	616
215	135	615
216	135	613
217	135	611
218	136	610
219	136	608
220	137	606
221	137	605
222	137	603
223	138	602
224	138	600
225	139	599
226	139	597
227	139	596
228	140	595
229	140	593
230	141	592
231	141	590
232	142	589
233	142	588
234	142	586
235	143	585
236	143	583
237	144	582
238	144	580
239	144	579
240	145	577
241	145	576
242	145	574
243	146	573
244	146	572
245	147	570
246	147	569
247	147	567
248	148	566
249	148	565
250	149	563
251	149	562
252	149	561
253	150	559
254	150	558
255	151	556
256	151	555
257	151	554
258	152	552
259	152	551
260	153	550
261	153	549
262	153	547
263	154	546
264	154	545
265	154	543
266	155	542
267	155	541
268	155	539
269	156	538
270	156	537
271	157	536
272	157	535
273	157	533
274	158	532
275	158	531
276	159	530
277	159	528
278	159	527
279	160	526
280	160	525
281	161	524
282	161	523
283	161	522
284	162	521
285	162	519
286	163	518
287	163	517
288	163	516
289	164	515
290	164	514
291	165	513
292	165	512
293	165	510
294	166	509
295	166	508
296	166	507
297	167	506
298	167	505
299	168	504
300	168	503
301	168	501
302	169	501
303	169	500
304	170	499
305	170	498
306	170	496
307	171	495
308	171	494
309	172	494
310	172	493
311	172	492
312	173	490
313	173	489
314	174	488
315	174	488
316	174	487
317	175	486
318	175	485
319	176	484
320	176	483
321	176	482
322	177	481
323	177	480
324	178	479
325	178	478
326	178	477
327	179	476
328	179	476
329	180	475
330	180	474
331	181	473
332	181	472
333	182	472
334	182	471
335	182	470
336	183	469
337	183	468
338	183	467
339	184	466
340	184	465
341	184	464
342	185	463
343	185	461
344	185	460
345	186	459
346	186	459
347	187	457
348	187	457
349	187	456
350	188	455
351	188	454
352	188	453
353	189	452
354	189	451
355	189	450
356	190	449
357	190	448
358	190	447
359	191	446
360	191	445
361	192	444
362	192	443
363	192	442
364	193	441
365	193	440
366	193	439
367	194	438
368	194	437
369	194	437
370	195	436
371	195	435
372	195	434
373	196	433
374	196	432
375	196	431
376	197	430
377	197	430
378	198	429
379	198	428
380	198	427
381	199	426
382	199	426
383	200	425
384	200	425
385	201	424
386	201	423
387	202	422
388	202	422
389	202	421
390	203	420
391	203	419
392	203	418
393	204	417
394	204	416
395	204	416
396	205	415
397	205	414
398	205	413
399	206	412
400	206	411
401	206	410
402	207	410
403	207	409
404	208	408
405	208	407
406	208	406
407	209	406
408	209	405
409	209	404
410	210	403
411	210	402
412	210	402
413	211	401
414	211	400
415	212	400
416	212	399
417	212	398
418	213	397
419	213	396
420	214	396
421	214	395
422	214	394
423	215	394
424	215	393
425	215	392
426	216	391
427	216	390
428	217	390
429	217	389
430	217	388
431	218	387
432	218	387
433	218	386
434	219	385
435	219	384
436	220	384
437	220	383
438	220	382
439	221	382
440	221	381
441	221	380
442	222	379
443	222	379
444	222	378
445	223	377
446	223	376
447	224	376
448	224	375
449	224	374
450	225	374
451	225	373
452	225	372
453	226	371
454	226	371
455	227	370
456	227	370
457	228	369
458	228	368
459	228	368
460	229	367
461	229	366
462	230	366
463	230	365
464	230	364
465	231	364
466	231	363
467	231	362
468	232	362
469	232	361
470	233	360
471	233	360
472	233	359
473	234	358
474	234	357
475	234	357
476	235	356
477	235	355
478	235	355
479	236	354
480	236	353
481	237	353
482	237	352
483	237	351
484	238	351
485	238	350
486	238	349
487	239	349
488	239	348
489	240	347
490	240	347
491	240	346
492	241	346
493	241	345
494	242	344
495	242	344
496	242	343
497	243	342
498	243	342
499	243	341
500	244	340
501	244	340
502	244	339
503	245	338
504	245	338
505	246	337
506	246	336
507	246	336
508	247	335
509	247	334
510	247	334
511	248	333
512	248	332
513	248	332
514	249	331
515	249	330
516	249	330
517	250	329
518	250	328
519	250	328
520	251	327
521	251	326
522	252	326
523	252	325
524	252	325
525	253	324
526	253	323
527	253	322
528	254	322
529	254	321
530	254	321
531	255	320
532	255	320
533	256	319
534	256	318
535	256	318
536	257	317
537	257	316
538	257	316
539	258	315
540	258	314
541	258	314
542	259	313
543	259	313
544	260	312
545	260	311
546	260	311
547	261	310
548	261	310
549	261	309
550	262	308
551	262	308
552	262	307
553	263	306
554	263	306
555	263	305
556	264	305
557	264	304
558	265	303
559	265	303
560	265	302
561	266	302
562	266	301
563	266	300
564	267	300
565	267	299
566	268	299
567	268	298
568	268	298
569	269	297
570	269	296
571	269	296
572	270	295
573	270	295
574	271	294
575	271	294
576	271	293
577	272	293
578	272	292
579	273	291
580	273	291
581	273	290
582	274	290
583	274	289
584	274	288
585	275	288
586	275	287
587	276	287
588	276	286
589	276	286
590	277	285
591	277	284
592	277	284
593	278	283
594	278	283
595	278	282
596	279	282
597	279	281
598	279	280
599	280	280
600	280	279
601	281	279
602	281	278
603	281	277
604	282	277
605	282	276
606	282	276
607	283	275
608	283	275
609	284	274
610	284	274
611	285	273
612	285	273
613	285	272
614	286	272
615	286	271
616	287	271
617	287	270
618	287	270
619	288	269
620	288	269
621	288	268
622	289	268
623	289	267
624	290	266
625	290	266
626	290	265
627	291	265
628	291	264
629	292	264
630	292	263
631	292	263
632	293	262
633	293	262
634	293	261
635	294	260
636	294	260
637	295	259
638	295	259
639	295	258
640	296	258
641	296	257
642	297	257
643	297	256
644	297	256
645	298	255
646	298	255
647	299	254
648	299	254
649	299	253
650	300	253
651	300	252
652	301	252
653	301	251
654	301	251
655	302	250
656	302	250
657	302	249
658	303	249
659	303	248
660	304	247
661	304	247
662	304	246
663	305	246
664	305	245
665	305	245
666	306	244
667	306	244
668	306	243
669	307	243
670	307	242
671	308	242
672	308	241
673	308	240
674	309	240
675	309	239
676	309	239
677	310	238
678	310	238
679	311	237
680	311	237
681	311	236
682	312	236
683	312	235
684	312	235
685	313	234
686	313	234
687	313	233
688	314	233
689	314	232
690	315	232
691	315	231
692	315	231
693	316	230
694	316	230
695	316	229
696	317	228
697	317	228
698	317	227
699	318	227
700	318	226
701	319	226
702	319	225
703	319	225
704	320	224
705	320	224
706	320	223
707	321	223
708	321	222
709	321	222
710	322	221
711	322	221
712	323	220
713	323	220
714	323	219
715	324	219
716	324	218
717	324	218
718	325	217
719	325	217
720	325	216
721	326	216
722	326	215
723	327	215
724	327	214
725	328	214
726	328	213
727	329	213
728	329	212
729	330	212
730	330	212
731	330	211
732	331	211
733	331	210
734	332	210
735	332	209
736	333	209
737	333	208
738	333	208
739	334	207
740	334	207
741	335	206
742	335	206
743	335	205
744	336	205
745	336	204
746	336	204
747	337	203
748	337	203
749	338	202
750	338	202
751	338	201
752	339	201
753	339	200
754	340	200
755	340	199
756	340	199
757	341	199
758	341	198
759	342	198
760	342	197
761	343	197
762	343	196
763	343	196
764	344	195
765	344	195
766	345	194
767	345	194
768	345	193
769	346	193
770	346	193
771	347	192
772	347	192
773	348	191
774	348	191
775	348	190
776	349	190
777	349	189
778	350	189
779	350	188
780	350	188
781	351	187
782	351	187
783	352	186
784	352	186
785	352	185
786	353	185
787	353	184
788	354	184
789	354	184
790	355	183
791	355	183
792	355	182
793	356	182
794	356	181
795	357	181
796	357	180
797	358	180
798	358	180
799	359	179
800	359	179
801	360	178
802	360	178
803	361	177
804	361	177
805	362	176
806	362	176
807	362	176
808	363	175
809	363	175
810	364	174
811	364	174
812	364	173
813	365	173
814	365	172
815	366	172
816	366	171
817	366	171
818	367	170
819	367	170
820	368	169
821	368	169
822	368	168
823	369	168
824	369	168
825	370	167
826	370	167
827	371	166
828	371	166
829	371	165
830	372	165
831	372	164
832	373	164
833	373	163
834	373	163
835	374	162
836	374	162
837	375	162
838	375	161
839	375	161
840	376	160
841	376	160
842	377	159
843	377	159
844	377	158
845	378	158
846	378	157
847	379	157
848	379	156
849	379	156
850	380	155
851	380	155
852	381	155
853	381	154
854	381	154
855	382	153
856	382	153
857	383	152
858	383	152
859	384	151
860	384	151
861	384	150
862	385	150
863	385	149
864	386	149
865	386	149
866	386	148
867	387	148
868	387	147
869	388	147
870	388	146
871	388	146
872	389	145
873	389	145
874	390	144
875	390	144
876	390	143
877	391	143
878	391	143
879	392	142
880	392	142
881	392	141
882	393	141
883	393	140
884	394	140
885	394	139
886	395	139
887	395	138
888	395	138
889	396	138
890	396	137
891	397	137
892	397	136
893	397	136
894	398	135
895	398	135
896	399	134
897	399	134
898	399	133
899	400	133
900	400	132
901	401	132
902	401	132
903	401	131
904	402	131
905	402	130
906	403	130
907	403	129
908	403	129
909	404	128
910	404	128
911	404	127
912	405	127
913	405	126
914	406	126
915	406	126
916	406	125
917	407	125
918	407	124
919	407	124
920	408	123
921	408	123
922	409	122
923	409	122
924	409	121
925	410	121
926	410	120
927	411	120
928	411	120
929	411	119
930	412	119
931	412	118
932	412	118
933	413	117
934	413	117
935	414	116
936	414	116
937	415	115
938	415	115
939	416	115
940	416	114
941	416	114
942	417	113
943	417	113
944	418	112
945	418	112
946	419	111
947	419	111
948	419	111
949	420	110
950	420	110
951	421	109
952	421	109
953	422	108
954	422	108
955	423	107
956	423	107
957	423	107
958	424	106
959	424	106
960	425	105
961	425	105
962	425	104
963	426	104
964	426	103
965	427	103
966	427	103
967	428	102
968	428	102
969	428	101
970	429	101
971	429	100
972	430	100
973	430	99
974	430	99
975	431	99
976	431	98
977	432	98
978	432	97
979	433	97
980	433	96
981	434	96
982	434	95
983	434	95
984	435	95
985	435	94
986	436	94
987	436	93
988	436	93
989	437	92
990	437	92
991	438	91
992	438	91
993	439	91
994	439	90
995	439	90
996	440	89
997	440	89
998	441	88
999	441	88
1000	442	87
1001	442	87
1002	442	86
1003	443	86
1004	443	86
1005	444	85
1006	444	85
1007	445	84
1008	445	84
1009	446	83
1010	446	83
1011	446	83
1012	447	82
1013	447	82
1014	448	81
1015	448	81
1016	448	80
1017	449	80
1018	449	79
1019	450	79
1020	450	78
1021	450	78
1022	451	78
1023	451	77
1024	451	77
1025	452	76
1026	452	76
1027	453	75
1028	453	75
1029	454	74
1030	454	74
1031	454	74
1032	455	73
1033	455	73
1034	456	72
1035	456	72
1036	456	71
1037	457	71
1038	457	70
1039	458	70
1040	458	70
1041	459	69
1042	459	69
1043	459	68
1044	460	68
1045	460	67
1046	461	67
1047	461	66
1048	461	66
1049	462	66
1050	462	65
1051	463	65
1052	463	64
1053	464	64
1054	464	63
1055	464	63
1056	465	62
1057	465	62
1058	465	62
1059	466	61
1060	466	61
1061	467	60
1062	467	60
1063	467	59
1064	468	59
1065	468	58
1066	468	58
1067	469	58
1068	469	57
1069	470	57
1070	470	56
1071	470	56
1072	471	55
1073	471	55
1074	471	54
1075	472	54
1076	472	53
1077	472	53
1078	473	53
1079	473	52
1080	474	52
1081	474	51
1082	474	51
1083	475	50
1084	475	50
1085	475	49
1086	476	49
1087	476	49
1088	476	48
1089	477	48
1090	477	47
1091	477	47
1092	478	46
1093	478	46
1094	479	45
1095	479	45
1096	479	45
1097	480	44
1098	480	44
1099	481	43
1100	481	43
1101	482	42
1102	482	42
1103	483	42
1104	483	41
1105	483	41
1106	484	40
1107	484	40
1108	485	39
1109	485	39
1110	486	38
1111	486	38
1112	486	38
1113	487	37
1114	487	37
1115	487	36
1116	488	36
1117	488	35
1118	489	35
1119	489	34
1120	489	34
1121	490	34
1122	490	33
1123	490	33
1124	491	32
1125	491	32
1126	491	31
1127	492	31
1128	492	30
1129	492	30
1130	493	30
1131	493	29
1132	494	29
1133	494	28
1134	494	28
1135	495	27
1136	495	27
1137	495	27
1138	496	26
1139	496	26
1140	496	25
1141	497	25
1142	497	24
1143	497	24
1144	498	23
1145	498	23
1146	499	23
