model,train_mae,train_r2,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std
SVR_RBF,0.0556,0.9974,0.1677,0.0509,0.9697,0.0089
SVR_Poly,0.0878,0.9929,0.2315,0.081,0.9468,0.0259
MLP,0.1057,0.9912,0.2675,0.1147,0.9393,0.0334
CatBoost,0.0006,1.0,0.2567,0.0506,0.9362,0.0196
BayesianRidge,0.229,0.9583,0.2669,0.0347,0.93,0.0271
PhysicsInformed_Ridge,0.2295,0.9581,0.2689,0.0341,0.9293,0.0267
XGBoost,0.0006,1.0,0.2958,0.0384,0.9077,0.0421
LassoCV,0.2555,0.9456,0.309,0.0598,0.9033,0.0473
ElasticNetCV,0.2882,0.9306,0.3126,0.0815,0.9021,0.0428
GradientBoosting,0.0005,1.0,0.3047,0.0563,0.8968,0.0664
ExtraTrees,0.0927,0.99,0.3465,0.1029,0.8898,0.0476
GPR,0.0,1.0,0.3006,0.0582,0.8888,0.0675
RidgeCV,0.2926,0.9274,0.3227,0.0529,0.8852,0.0577
PhysicsInformed_XGBoost,0.04,0.9985,0.3458,0.0372,0.8727,0.0751
Adaptive_XGBoost,0.04,0.9985,0.3458,0.0372,0.8727,0.0751
KNN,0.0,1.0,0.4134,0.101,0.8533,0.034
OLS,0.2216,0.9621,0.4044,0.1271,0.8349,0.0908
HistGradientBoosting,0.0845,0.99,0.3768,0.0593,0.8311,0.1271
Adaptive_RandomForest,0.1492,0.9825,0.4367,0.0509,0.8193,0.108
PhysicsInformed_RandomForest,0.1493,0.9825,0.4369,0.0513,0.819,0.1087
Adaptive_Ridge,0.4561,0.8449,0.5387,0.0668,0.7354,0.1103
RandomForest,0.2558,0.9438,0.5221,0.075,0.734,0.1747
PLSRegression,0.5334,0.788,0.5657,0.0676,0.6861,0.1534
DecisionTree,0.292,0.93,0.5667,0.0561,0.6744,0.1444
