model,train_mae,train_r2,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std
BayesianRidge,0.229,0.9583,0.2688,0.0268,0.9401,0.0165
SVR_RBF,0.0556,0.9974,0.2474,0.0865,0.9251,0.0453
CatBoost,0.0006,1.0,0.2958,0.0632,0.9118,0.0383
GPR,0.0,1.0,0.3083,0.1271,0.8988,0.0614
GradientBoosting,0.0005,1.0,0.3359,0.0277,0.8951,0.0405
MLP,0.1057,0.9912,0.3193,0.0779,0.8931,0.059
XGBoost,0.0006,1.0,0.346,0.0516,0.8835,0.0631
KNN,0.0,1.0,0.4303,0.0728,0.8546,0.0394
ExtraTrees,0.0927,0.99,0.429,0.0535,0.8535,0.0401
ElasticNetCV,0.2536,0.945,0.3817,0.1597,0.8443,0.139
SVR_Poly,0.0878,0.9929,0.3572,0.0969,0.8318,0.1091
OLS,0.2216,0.9621,0.4508,0.1032,0.8247,0.0598
LassoCV,0.5293,0.8021,0.5138,0.0733,0.7798,0.0377
HistGradientBoosting,0.0845,0.99,0.5612,0.127,0.7568,0.0967
RandomForest,0.2558,0.9438,0.5535,0.0634,0.7506,0.0996
PLSRegression,0.5334,0.788,0.5564,0.09,0.7439,0.1266
RidgeCV,0.6077,0.7356,0.7252,0.162,0.6264,0.1041
DecisionTree,0.292,0.93,0.7294,0.1049,0.5936,0.1553
